ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
104,France,,,15,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Lua;MATLAB;PowerShell;SQL,Assembly;Bash/Shell (all shells);C;C#;C++;F#;MATLAB;OCaml;PowerShell;Rust;SQL,Other (please specify):,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
105,Germany,,,24,C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Visual Basic (.Net),,"Developer, back-end",,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,45-54 years old,"Employed, full-time",Yes
106,India,,,3,Bash/Shell (all shells);Go;HTML/CSS;Python,Bash/Shell (all shells);Elixir;Go;HTML/CSS;Python,"Developer, back-end",1,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
107,Italy,,,,Assembly;Bash/Shell (all shells);C;C++;F#;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;Scala;SQL;TypeScript,Bash/Shell (all shells);F#;Haskell;HTML/CSS;JavaScript;Kotlin;Lisp;PowerShell;Rust;Scala;TypeScript,Student,,,Something else,,Under 18 years old,"Student, full-time","No, and I don't plan to"
108,United States of America,,,6,C#;HTML/CSS;VBA,C#;F#;HTML/CSS;Lua;SQL;VBA,"Developer, desktop or enterprise applications",9,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
109,Belgium,,,26,C#;PowerShell;SQL,C#;PowerShell;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
110,Australia,,,Less than 1 year,HTML/CSS;Java;JavaScript;Prolog;Scala;TypeScript,Scala,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
111,Greece,,,6,C;C#;HTML/CSS;Java;Python;SQL,C;C#;HTML/CSS;Java;Kotlin;Python;SQL;Swift;TypeScript,"Developer, mobile",4,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
112,United Kingdom of Great Britain and Northern Ireland,,,,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python,,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
113,Ireland,,,13,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,"Developer, front-end",9,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time",Yes
114,United States of America,,,35,C;C#;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;R;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net),Python;R;SQL,Academic researcher,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
115,Turkey,,,4,JavaScript;TypeScript,Ruby,"Developer, front-end",,Remote,"Associate degree (A.A., A.S., etc.)",,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, and I don't plan to"
116,United States of America,,,12,C#,C#,"Developer, desktop or enterprise applications",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
117,Germany,,,27,Bash/Shell (all shells);C;C++;Kotlin;PowerShell;Python;Rust,Erlang;Haskell,Research & Development role,7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
118,Austria,,,5,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Zig,Data scientist or machine learning specialist,8,Remote,Some college/university study without earning a degree,,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Yes
119,Sweden,,,7,C#;Go;Python;SQL,C#;Go;Python;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
120,Mexico,,,25,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
121,United Republic of Tanzania,,,3,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;SQL,Data or business analyst,8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
122,Ireland,,,30,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;Swift;TypeScript,Other (please specify):,8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Employed, full-time",Yes
123,United States of America,,,,Java;JavaScript;Kotlin;Lua;MicroPython;Python;Rust;Scala;TypeScript,Java;JavaScript;Kotlin;Lua;Python;TypeScript,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,I prefer not to say,"No, and I don't plan to"
124,Germany,,,8,Go,Go,"Developer, back-end",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, and I don't plan to"
125,Japan,,,12,HTML/CSS;Java;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;Python;TypeScript,Engineering manager,10,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
126,Austria,,,5,HTML/CSS;Kotlin;Objective-C;Python;Ruby;Swift;TypeScript,HTML/CSS;Python;Swift;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time",Yes
127,India,,,8,Go;Python,Go;Python,"Developer, back-end",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time",Yes
128,United States of America,,,10,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Kotlin;Python;Rust;SQL,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Python;Rust;SQL;Zig,"Developer, full-stack",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Independent contractor, freelancer, or self-employed",Yes
129,United States of America,,,23,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
130,Sweden,,,30,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Python;SQL,"Developer, full-stack",6,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,35-44 years old,"Employed, full-time",Yes
131,Ukraine,,,18,C++,C++,"Developer, desktop or enterprise applications",8,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
132,Germany,,,9,JavaScript;TypeScript,JavaScript;TypeScript,Engineering manager,8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
133,Ukraine,,,3,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,"Developer, back-end",6,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,18-24 years old,"Employed, full-time;Student, full-time",Yes
134,United Kingdom of Great Britain and Northern Ireland,,,2,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL,Bash/Shell (all shells);C#;HTML/CSS;Java;Python;SQL,"Developer, full-stack",7,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,18-24 years old,"Employed, full-time","No, and I don't plan to"
135,United Kingdom of Great Britain and Northern Ireland,,,45,C#;PowerShell;Python,C#;PowerShell;Python,Educator,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,65 years or older,"Employed, full-time","No, but I plan to soon"
136,Hungary,,,4,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, part-time",Yes
137,United States of America,,,,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",,,Primary/elementary school,,Under 18 years old,"Not employed, and not looking for work","No, and I don't plan to"
138,Argentina,,,9,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Bash/Shell (all shells);Clojure;Kotlin;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
139,Sweden,,,,Assembly;C;C#;C++;HTML/CSS;JavaScript;Lua;TypeScript,Assembly;C;C++;HTML/CSS;JavaScript;TypeScript,Student,,,Primary/elementary school,,18-24 years old,"Student, full-time","No, and I don't plan to"
140,Pakistan,,,6,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
141,India,,,4,Bash/Shell (all shells);Dart;JavaScript;Python;SQL,Bash/Shell (all shells);C#;Dart;Go;JavaScript;PowerShell;Python;SQL,DevOps specialist,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Not employed, but looking for work","No, but I plan to soon"
142,Italy,,,5,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript,"Developer, full-stack",9,In-person,Some college/university study without earning a degree,,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
143,India,,,6,C;C++;Java,PowerShell;Python;SQL,,8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time",Yes
144,Australia,,,1,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Haskell;HTML/CSS;Python;Rust;SQL;TypeScript,Educator,,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,18-24 years old,"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time","No, and I don't plan to"
145,United States of America,,,6,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",10,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, and I don't plan to"
146,United States of America,,,1,Bash/Shell (all shells);Dart;Python;Swift,Bash/Shell (all shells);Dart;Kotlin;PHP;Python;SQL;Swift,"Developer, mobile",3,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
147,United Kingdom of Great Britain and Northern Ireland,,,17,HTML/CSS;SQL;VBA,,Data or business analyst,9,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
148,United States of America,,,18,Go;Java;JavaScript;Kotlin;PHP;Python;SQL,Kotlin;PHP;SQL,"Developer, full-stack",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Not employed, but looking for work","No, but I plan to soon"
149,United States of America,,,6,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;Go;Java;Python;TypeScript,"Developer, full-stack",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, but I plan to soon"
150,Croatia,,,13,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL,"Developer, full-stack",10,Remote,Some college/university study without earning a degree,,35-44 years old,"Employed, full-time",Yes
151,Turkey,,,3,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;C++;HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
152,Finland,,,22,,,"Developer, front-end",,,Some college/university study without earning a degree,,35-44 years old,"Not employed, and not looking for work","No, but I plan to soon"
153,United States of America,,,4,C#;HTML/CSS;Python;SQL,C#;HTML/CSS;Python;SQL,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
154,United Kingdom of Great Britain and Northern Ireland,,,4,Python;TypeScript,,"Developer, back-end",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time",Yes
155,United Kingdom of Great Britain and Northern Ireland,,,11,C;C++;JavaScript;Lua;Python;Rust;SQL;TypeScript,C;C++;Python;Rust,"Developer, game or graphics",10,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time",Yes
156,Portugal,,,10,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Independent contractor, freelancer, or self-employed",Yes
157,Netherlands,,,31,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",Something else,,55-64 years old,"Independent contractor, freelancer, or self-employed",Yes
158,United States of America,,,4,C#;HTML/CSS;JavaScript;SQL,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Python;Rust;Solidity;SQL;Zig,"Developer, full-stack",3,In-person,"Associate degree (A.A., A.S., etc.)",,18-24 years old,"Employed, full-time",Yes
159,Sri Lanka,,,5,HTML/CSS;JavaScript;SQL;TypeScript,Dart;HTML/CSS;JavaScript;Kotlin;Rust;Solidity;SQL;Swift;TypeScript,"Developer, full-stack",6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
160,United States of America,,,3,C;C#;C++;HTML/CSS;JavaScript;TypeScript,C;C#;C++;Rust,"Developer, back-end",2,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Employed, full-time",Yes
161,Netherlands,,,Less than 1 year,Go;Rust;Zig,C;Rust;Zig,DevOps specialist,6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Employed, full-time","No, and I don't plan to"
162,Latvia,,,5,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;TypeScript,"Developer, full-stack",7,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time",Yes
163,Sri Lanka,,,6,Lua;Python;TypeScript,Rust;TypeScript,"Developer, full-stack",6,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
164,Portugal,,,19,Java;TypeScript,Java;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time","No, but I plan to soon"
165,India,,,9,Java,Java,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
166,United States of America,,,16,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",10,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time",Yes
167,United Kingdom of Great Britain and Northern Ireland,,,2,C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Employed, full-time",Yes
168,China,,,,HTML/CSS;JavaScript;Kotlin;Lua;MATLAB;PowerShell;Python;SQL;TypeScript,HTML/CSS;JavaScript;Kotlin;Lua;Python;SQL;TypeScript,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
169,Singapore,,,8,Assembly;C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
170,China,,,21,Python,Python,"Developer, QA or test",6,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
171,Lebanon,,,2,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;Ruby;Rust;Swift;TypeScript;Zig,Student,,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Yes
172,United States of America,,,15,Bash/Shell (all shells);C#;Go;PowerShell;Python;SQL,Bash/Shell (all shells);C#;Go;PowerShell;Rust;SQL;Zig,Security professional,,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time","No, but I plan to soon"
