ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
80,Canada,Canada,168000,CAD	Canadian dollar,10416000,15,HTML/CSS;JavaScript;Python,3,Python;Rust,Data scientist or machine learning specialist,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
81,Austria,Austria,75000,EUR European Euro,6825000,14,HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,7,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
82,United States of America,USA,175000,USD	United States dollar,14700000,17,C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,8,C#;Go;Java;PowerShell,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
83,United States of America,USA,120000,USD	United States dollar,10080000,2,Bash/Shell (all shells);C;C++;Python,4,Assembly;Bash/Shell (all shells);C;C++;Python,"Developer, embedded applications or devices",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
84,United States of America,USA,80000,USD	United States dollar,6720000,12,C#;Java,2,C#;Java,"Developer, game or graphics",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
85,Poland,Poland,120000,USD	United States dollar,10080000,20,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Solidity;SQL,6,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Rust;Solidity;SQL,Blockchain,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Independent contractor, freelancer, or self-employed",Yes,1
86,Portugal,Portugal,120000,EUR European Euro,10920000,11,Bash/Shell (all shells);C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift,12,Dart;Kotlin,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
87,Finland,Finland,79000,EUR European Euro,7189000,27,Bash/Shell (all shells);Java;SQL,3,Java,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,100 to 499 employees,300,45-54 years old,45,"Employed, full-time",No,0
88,Canada,Canada,120000,CAD	Canadian dollar,7440000,20,C#;JavaScript;SQL;TypeScript,4,C#;Go;Java;JavaScript;Kotlin;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
89,United States of America,USA,163000,USD	United States dollar,13692000,13,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,7,Go;Python;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
90,Germany,Germany,73200,EUR European Euro,6661200,7,Assembly;C++;Go;Java;Objective-C;PHP;Python;Swift,8,Assembly;C++;Java;Python;Swift,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
91,Netherlands,Netherlands,60000,EUR European Euro,5460000,4,Python,1,Python,"Developer, AI",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
92,Lithuania,Lithuania,80000,EUR European Euro,7280000,8,PHP,1,PHP,Engineering manager,,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
93,United Kingdom of Great Britain and Northern Ireland,United Kingdom,66000,GBP	Pound sterling,6996000,10,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,8,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2 to 9 employees,5,35-44 years old,35,"Employed, full-time",Yes,1
94,Germany,Germany,78000,EUR European Euro,7098000,15,Bash/Shell (all shells);C++;Python,3,Bash/Shell (all shells);C++;Haskell;Python,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
95,Ukraine,Ukraine,72000,USD	United States dollar,6048000,17,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,9,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
96,United States of America,USA,150000,USD	United States dollar,12600000,3,C;C++;Python,3,Rust,"Developer, embedded applications or devices",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
97,Canada,Canada,170000,CAD	Canadian dollar,10540000,12,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,8,Rust,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
98,United States of America,USA,92000,USD	United States dollar,7728000,2,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MicroPython;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),11,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;MicroPython;PowerShell;Rust,"Developer, desktop or enterprise applications",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
99,United Kingdom of Great Britain and Northern Ireland,United Kingdom,63000,GBP	Pound sterling,6678000,32,Haskell;TypeScript,2,Haskell;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,55-64 years old,55,"Employed, full-time",No,0
100,United States of America,USA,118106,USD	United States dollar,9920904,28,C#;Fortran;Python;SQL,4,C#;Fortran;Python;SQL,Project manager,,In-person,0,Some college/university study without earning a degree,20 to 99 employees,60,55-64 years old,55,"Employed, full-time",No,0
101,United States of America,USA,110000,USD	United States dollar,9240000,4,HTML/CSS;Python;TypeScript,3,Go;HTML/CSS;Python;Ruby;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
102,Cyprus,Cyprus,150000,EUR European Euro,13650000,9,Bash/Shell (all shells);Go;Python;SQL,4,Go;Python;SQL,Engineering manager,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
103,United States of America,USA,215000,USD	United States dollar,18060000,10,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,7,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Other (please specify):,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
104,United States of America,USA,145000,USD	United States dollar,12180000,6,C#;HTML/CSS;JavaScript;Kotlin;Objective-C;Swift;TypeScript,7,C#;C++;HTML/CSS;JavaScript;Kotlin;Objective-C;Swift;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Yes,1
105,Czech Republic,Czech Republic,70000,CZK	Czech koruna,252000,10,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Lua;PowerShell;Python;Rust;SQL,12,Assembly;Bash/Shell (all shells);C;C++;Lua;Python;Rust;SQL,Research & Development role,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
106,United States of America,USA,195000,USD	United States dollar,16380000,10,Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,10,Crystal;Go;Zig,Engineering manager,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",No,0
107,United States of America,USA,165000,USD	United States dollar,13860000,38,JavaScript;Python,2,Apex;JavaScript;TypeScript,Developer Experience,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,55-64 years old,55,"Employed, full-time",No,0
108,United States of America,USA,98000,USD	United States dollar,8232000,2,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,7,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,18-24 years old,18,"Employed, full-time",Yes,1
109,United States of America,USA,175000,USD	United States dollar,14700000,8,JavaScript;Rust;TypeScript,3,JavaScript;Rust;TypeScript,"Developer, front-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
110,United States of America,USA,159000,USD	United States dollar,13356000,6,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;Kotlin;Python;R;SQL;Swift;TypeScript,11,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;TypeScript,"Developer, QA or test",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
111,United Kingdom of Great Britain and Northern Ireland,United Kingdom,100000,GBP	Pound sterling,10600000,7,C#;HTML/CSS;SQL,3,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
112,Romania,Romania,72000,RON	Romanian leu,1517040,3,HTML/CSS;Java;JavaScript;SQL;TypeScript,5,Java;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,18-24 years old,18,"Employed, full-time",Yes,1
113,United States of America,USA,257695,USD	United States dollar,21646380,9,C#;C++;Python,3,C#;C++;Python;Rust,Engineering manager,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
114,France,France,67000,EUR European Euro,6097000,24,C;C++;Java;JavaScript;PHP;PowerShell;Python;SQL,8,C++;Java;JavaScript;Python;Rust;SQL;Zig,"Developer, embedded applications or devices",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,45-54 years old,45,"Employed, full-time",No,0
115,Israel,Israel,372000,ILS	Israeli new shekel,8556000,8,HTML/CSS;JavaScript;Python;SQL;TypeScript,5,Clojure;Go;HTML/CSS;JavaScript;OCaml;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
116,Finland,Finland,75000,EUR European Euro,6825000,25,C#;C++;PowerShell;SQL,4,C#;C++;PowerShell;SQL,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",Yes,1
117,Finland,Finland,223000,EUR European Euro,20293000,6,Bash/Shell (all shells);Go;JavaScript;Python;SQL;TypeScript,6,Go;Python;SQL;Zig,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,18-24 years old,18,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Yes,1
118,United States of America,USA,170000,USD	United States dollar,14280000,27,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,8,C;Go;Kotlin;Rust;Swift,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,"10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",Yes,1
119,United States of America,USA,190000,USD	United States dollar,15960000,21,C#;GDScript;HTML/CSS;JavaScript;SQL;TypeScript,6,C#;TypeScript,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,500 to 999 employees,750,35-44 years old,35,"Employed, full-time",Yes,1
120,Croatia,Croatia,156000,EUR European Euro,14196000,3,Bash/Shell (all shells);C;C++;Java;PHP;PowerShell;Python;TypeScript,8,Bash/Shell (all shells);Haskell;Python,Student,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,18-24 years old,18,"Student, full-time;Employed, part-time",Yes,1
121,Poland,Poland,156000,PLN	Polish zloty,3276000,4,Assembly;C;C++;Haskell;Python;Zig,6,Assembly;C;C++;Python;Rust;Zig,"Developer, game or graphics",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
122,Portugal,Portugal,78000,EUR European Euro,7098000,19,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,5,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,20 to 99 employees,60,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
123,United Kingdom of Great Britain and Northern Ireland,United Kingdom,88000,GBP	Pound sterling,9328000,11,Kotlin,1,Kotlin,"Developer, mobile",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
124,United States of America,USA,85000,USD	United States dollar,7140000,3,Python,1,C;C#;C++;Java;JavaScript,"Engineer, site reliability",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,18-24 years old,18,"Employed, full-time",Yes,1
125,Brazil,Brazil,185586,BRL	Brazilian real,2783790,3,HTML/CSS;JavaScript;SQL;TypeScript,4,HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
126,United States of America,USA,220000,USD	United States dollar,18480000,18,Python,1,Clojure;Python,Other (please specify):,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
127,United States of America,USA,100000,USD	United States dollar,8400000,30,SQL;VBA,2,PowerShell;R;SQL;VBA,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",No,0
128,United States of America,USA,170000,USD	United States dollar,14280000,9,Groovy;JavaScript;Python;R;SQL,5,Go;JavaScript;Python;Rust;SQL,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
129,United States of America,USA,126000,USD	United States dollar,10584000,8,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;R;Ruby;Rust;SQL;TypeScript,14,Bash/Shell (all shells);Go;Rust;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
130,United States of America,USA,78000,USD	United States dollar,6552000,9,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),10,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack",,In-person,0,Some college/university study without earning a degree,100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
131,"Iran, Islamic Republic of...",Iran,60000,USD	United States dollar,5040000,18,Swift,1,Swift,"Developer, mobile",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time;Employed, part-time",No,0
132,Cyprus,Cyprus,78000,EUR European Euro,7098000,15,Python,1,C#;Go;TypeScript,"Developer, desktop or enterprise applications",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
133,France,France,87185,EUR European Euro,7933835,23,C#;HTML/CSS;JavaScript;SQL,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",No,0
134,Netherlands,Netherlands,61600,EUR European Euro,5605600,7,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,7,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
135,Netherlands,Netherlands,65000,EUR European Euro,5915000,7,HTML/CSS;JavaScript;Python;SQL;TypeScript,5,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
136,United States of America,USA,90000,USD	United States dollar,7560000,20,Bash/Shell (all shells);C;C#;Java;Perl;PHP;SQL,7,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;Erlang;Go;JavaScript;Perl;SQL,Academic researcher,,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
